,title,name,type,img
104,Historical Figures (1900s),Helen Keller,INFJ,https://www.personality-database.com/profile_images/24960.png
105,Historical Figures (1900s),Georgy Zhukov,ENTJ,https://www.personality-database.com/profile_images/85666.png
106,Historical Figures (1800s),John Brown,INFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
107,Historical Figures (1900s),George Patton,ESTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
108,Historical Figures (1800s),Robert E. Lee,ISFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
109,Historical Figures (1900s),Eva Braun,ESFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
110,Historical Figures (600s),Empress Wu Zetian,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
111,Historical Figures (1900s),Heinz Guderian,ESTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
112,Historical Figures (1st Millenium BCE),Xerxes the Great,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
113,Historical Figures (1600s),Oliver Cromwell,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
114,Historical Figures (1900s),Enver Pasha,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
115,Historical Figures (1500s),Tokugawa Ieyasu,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
116,Historical Figures (1900s),Manfred von Richthofen (Red Baron),ISTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
117,Historical Figures (1700s),Marquis de Lafayette,ENFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
118,Historical Figures (1500s),Philip II of Spain,ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
119,Historical Figures (1800s),Alexander I of Russia,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
120,Historical Figures (1st Millenium BCE),Leonidas I,ESTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
121,Historical Figures (1st Millenium BCE),Marcus Junius Brutus,ISFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
122,Historical Figures (1st Millenium BCE),Alcibiades,ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
123,Historical Figures (1900s),"Abdul Hamid II, Ottoman Sultan",ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
124,Historical Figures (1900s),Boris Yeltsin,ESFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
125,Historical Figures (1900s),Eva Perón,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
126,Historical Figures (1500s),Cesare Borgia,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
127,Historical Figures (1st Millenium BCE),Pericles,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
128,Historical Figures (500s),Theodora,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
